TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
48;0;0.985;1.97;2.955;3.94;4.76;5.58;6;6.42;6.7;6.98;7.21;7.44;7.62;7.8;7.95;8.1;8.23;8.36;8.364;8.494;8.639;8.784;8.896;9.008;9.016;9.024;8.974;8.924;9.004;9.084;9.054;9.024;8.994;8.964;8.934;8.904;8.874;8.844;8.814;8.784;8.74;8.695;8.651;8.606;8.562;8.518;8.473;8.429;8.384;8.34;8.287;8.233;8.18;8.127;8.073;8.02;7.967;7.914;7.86;7.807;7.754;7.7;7.647;7.594;7.54;7.487;7.434;7.381;7.327;7.274
49;0;1.005;2.01;3.015;4.02;4.83;5.64;6.05;6.46;6.75;7.04;7.28;7.52;7.71;7.9;8.05;8.2;8.34;8.48;8.492;8.632;8.777;8.922;9.028;9.134;9.138;9.142;9.092;9.042;9.132;9.222;9.192;9.162;9.132;9.102;9.072;9.042;9.012;8.982;8.952;8.922;8.878;8.834;8.789;8.745;8.701;8.657;8.613;8.568;8.524;8.48;8.426;8.371;8.317;8.262;8.208;8.154;8.099;8.045;7.99;7.936;7.882;7.827;7.773;7.718;7.664;7.61;7.555;7.501;7.446;7.392
50;0;1.025;2.05;3.075;4.1;4.9;5.7;6.1;6.5;6.8;7.1;7.35;7.6;7.8;8;8.15;8.3;8.45;8.6;8.62;8.77;8.915;9.06;9.16;9.26;9.26;9.26;9.21;9.16;9.26;9.36;9.33;9.3;9.27;9.24;9.21;9.18;9.15;9.12;9.09;9.06;9.016;8.972;8.928;8.884;8.84;8.796;8.752;8.708;8.664;8.62;8.564;8.509;8.453;8.398;8.343;8.287;8.232;8.176;8.121;8.065;8.009;7.954;7.898;7.843;7.788;7.732;7.677;7.621;7.565;7.51
51;0;1.04;2.08;3.12;4.16;4.95;5.74;6.15;6.56;6.86;7.16;7.42;7.68;7.89;8.1;8.25;8.4;8.56;8.72;8.734;8.88;9.037;9.194;9.296;9.398;9.408;9.418;9.367;9.316;9.426;9.536;9.506;9.476;9.447;9.417;9.387;9.357;9.327;9.298;9.268;9.238;9.194;9.149;9.105;9.06;9.016;8.972;8.927;8.883;8.838;8.794;8.735;8.677;8.618;8.56;8.501;8.442;8.384;8.325;8.267;8.208;8.149;8.091;8.032;7.974;7.915;7.856;7.798;7.739;7.681;7.622
52;0;1.055;2.11;3.165;4.22;5;5.78;6.2;6.62;6.92;7.22;7.49;7.76;7.98;8.2;8.35;8.5;8.67;8.84;8.848;8.99;9.159;9.328;9.432;9.536;9.556;9.576;9.524;9.472;9.592;9.712;9.682;9.653;9.623;9.594;9.564;9.534;9.505;9.475;9.446;9.416;9.371;9.326;9.282;9.237;9.192;9.147;9.102;9.058;9.013;8.968;8.906;8.845;8.783;8.721;8.66;8.598;8.536;8.474;8.413;8.351;8.289;8.228;8.166;8.104;8.043;7.981;7.919;7.857;7.796;7.734
53;0;1.07;2.14;3.21;4.28;5.05;5.82;6.25;6.68;6.98;7.28;7.56;7.84;8.07;8.3;8.45;8.6;8.78;8.96;8.962;9.1;9.281;9.462;9.568;9.674;9.704;9.734;9.681;9.628;9.758;9.888;9.859;9.829;9.8;9.77;9.741;9.712;9.682;9.653;9.623;9.594;9.549;9.504;9.458;9.413;9.368;9.323;9.278;9.232;9.187;9.142;9.077;9.012;8.948;8.883;8.818;8.753;8.688;8.624;8.559;8.494;8.429;8.364;8.3;8.235;8.17;8.105;8.04;7.976;7.911;7.846
54;0;1.085;2.17;3.255;4.34;5.1;5.86;6.3;6.74;7.04;7.34;7.63;7.92;8.16;8.4;8.55;8.7;8.89;9.08;9.076;9.21;9.403;9.596;9.704;9.812;9.852;9.892;9.838;9.784;9.924;10.064;10.035;10.006;9.976;9.947;9.918;9.889;9.86;9.83;9.801;9.772;9.726;9.681;9.635;9.59;9.544;9.498;9.453;9.407;9.362;9.316;9.248;9.18;9.112;9.044;8.977;8.909;8.841;8.773;8.705;8.637;8.569;8.501;8.433;8.365;8.298;8.23;8.162;8.094;8.026;7.958
55;0;1.1;2.2;3.3;4.4;5.15;5.9;6.35;6.8;7.1;7.4;7.7;8;8.25;8.5;8.65;8.8;9;9.2;9.19;9.32;9.525;9.73;9.84;9.95;10;10.05;9.995;9.94;10.09;10.24;10.211;10.182;10.153;10.124;10.095;10.066;10.037;10.008;9.979;9.95;9.904;9.858;9.812;9.766;9.72;9.674;9.628;9.582;9.536;9.49;9.419;9.348;9.277;9.206;9.135;9.064;8.993;8.922;8.851;8.78;8.709;8.638;8.567;8.496;8.425;8.354;8.283;8.212;8.141;8.07
56;0;1.11;2.22;3.33;4.44;5.185;5.93;6.375;6.82;7.13;7.44;7.74;8.04;8.3;8.56;8.72;8.88;9.088;9.296;9.3;9.446;9.669;9.892;10;10.108;10.158;10.208;10.164;10.12;10.279;10.438;10.409;10.38;10.35;10.321;10.292;10.263;10.234;10.204;10.175;10.146;10.098;10.05;10.001;9.953;9.905;9.857;9.809;9.76;9.712;9.664;9.59;9.516;9.442;9.368;9.294;9.22;9.146;9.072;8.998;8.924;8.85;8.776;8.702;8.628;8.554;8.48;8.406;8.332;8.258;8.184
57;0;1.12;2.24;3.36;4.48;5.22;5.96;6.4;6.84;7.16;7.48;7.78;8.08;8.35;8.62;8.79;8.96;9.176;9.392;9.41;9.572;9.813;10.054;10.16;10.266;10.316;10.366;10.333;10.3;10.468;10.636;10.607;10.577;10.548;10.518;10.489;10.46;10.43;10.401;10.371;10.342;10.292;10.241;10.191;10.14;10.09;10.04;9.989;9.939;9.888;9.838;9.761;9.684;9.607;9.53;9.453;9.376;9.299;9.222;9.145;9.068;8.991;8.914;8.837;8.76;8.683;8.606;8.529;8.452;8.375;8.298
58;0;1.13;2.26;3.39;4.52;5.255;5.99;6.425;6.86;7.19;7.52;7.82;8.12;8.4;8.68;8.86;9.04;9.264;9.488;9.52;9.698;9.957;10.216;10.32;10.424;10.474;10.524;10.502;10.48;10.657;10.834;10.804;10.775;10.745;10.716;10.686;10.656;10.627;10.597;10.568;10.538;10.485;10.433;10.38;10.328;10.275;10.222;10.17;10.117;10.065;10.012;9.932;9.852;9.772;9.692;9.612;9.532;9.452;9.372;9.292;9.212;9.132;9.052;8.972;8.892;8.812;8.732;8.652;8.572;8.492;8.412
59;0;1.14;2.28;3.42;4.56;5.29;6.02;6.45;6.88;7.22;7.56;7.86;8.16;8.45;8.74;8.93;9.12;9.352;9.584;9.63;9.824;10.101;10.378;10.48;10.582;10.632;10.682;10.671;10.66;10.846;11.032;11.002;10.972;10.943;10.913;10.883;10.853;10.823;10.794;10.764;10.734;10.679;10.624;10.57;10.515;10.46;10.405;10.35;10.296;10.241;10.186;10.103;10.02;9.937;9.854;9.771;9.688;9.605;9.522;9.439;9.356;9.273;9.19;9.107;9.024;8.941;8.858;8.775;8.692;8.609;8.526
60;0;1.15;2.3;3.45;4.6;5.325;6.05;6.475;6.9;7.25;7.6;7.9;8.2;8.5;8.8;9;9.2;9.44;9.68;9.74;9.95;10.245;10.54;10.64;10.74;10.79;10.84;10.84;10.84;11.035;11.23;11.2;11.17;11.14;11.11;11.08;11.05;11.02;10.99;10.96;10.93;10.873;10.816;10.759;10.702;10.645;10.588;10.531;10.474;10.417;10.36;10.274;10.188;10.102;10.016;9.93;9.844;9.758;9.672;9.586;9.5;9.414;9.328;9.242;9.156;9.07;8.984;8.898;8.812;8.726;8.64
61;0;1.158;2.317;3.476;4.634;5.353;6.072;6.502;6.932;7.291;7.65;7.96;8.27;8.569;8.868;9.078;9.288;9.54;9.792;9.864;10.088;10.383;10.678;10.778;10.878;10.927;10.976;10.976;10.976;11.172;11.368;11.336;11.304;11.272;11.24;11.208;11.176;11.144;11.112;11.08;11.048;10.993;10.938;10.882;10.827;10.772;10.717;10.662;10.606;10.551;10.496;10.408;10.321;10.234;10.146;10.059;9.971;9.884;9.796;9.709;9.621;9.534;9.446;9.359;9.271;9.184;9.096;9.009;8.921;8.834;8.746
62;0;1.167;2.334;3.501;4.668;5.381;6.094;6.529;6.964;7.332;7.7;8.02;8.34;8.638;8.936;9.156;9.376;9.64;9.904;9.988;10.226;10.521;10.816;10.916;11.016;11.064;11.112;11.112;11.112;11.309;11.506;11.472;11.438;11.404;11.37;11.336;11.302;11.268;11.234;11.2;11.166;11.113;11.059;11.006;10.952;10.899;10.846;10.792;10.739;10.685;10.632;10.543;10.454;10.365;10.276;10.187;10.098;10.009;9.92;9.831;9.742;9.653;9.564;9.475;9.386;9.297;9.208;9.119;9.03;8.941;8.852
63;0;1.176;2.351;3.526;4.702;5.409;6.116;6.556;6.996;7.373;7.75;8.08;8.41;8.707;9.004;9.234;9.464;9.74;10.016;10.115;10.364;10.659;10.954;11.054;11.154;11.201;11.248;11.248;11.248;11.446;11.644;11.608;11.572;11.536;11.5;11.464;11.428;11.392;11.356;11.32;11.284;11.232;11.181;11.129;11.078;11.026;10.974;10.923;10.871;10.82;10.768;10.678;10.587;10.497;10.406;10.316;10.225;10.135;10.044;9.954;9.863;9.772;9.682;9.592;9.501;9.411;9.32;9.23;9.139;9.049;8.958
64;0;1.184;2.368;3.552;4.736;5.437;6.138;6.583;7.028;7.414;7.8;8.14;8.48;8.776;9.072;9.312;9.552;9.84;10.128;10.275;10.502;10.797;11.092;11.192;11.292;11.338;11.384;11.384;11.384;11.583;11.782;11.744;11.706;11.668;11.63;11.592;11.554;11.516;11.478;11.44;11.402;11.352;11.302;11.253;11.203;11.153;11.103;11.053;11.004;10.954;10.904;10.812;10.72;10.628;10.536;10.444;10.352;10.26;10.168;10.076;9.984;9.892;9.8;9.708;9.616;9.524;9.432;9.34;9.248;9.156;9.064
65;0;1.193;2.385;3.577;4.77;5.465;6.16;6.61;7.06;7.455;7.85;8.2;8.55;8.845;9.14;9.39;9.64;9.94;10.24;10.435;10.67;10.935;11.23;11.33;11.43;11.475;11.52;11.52;11.52;11.72;11.92;11.88;11.84;11.8;11.76;11.72;11.68;11.64;11.6;11.56;11.52;11.472;11.424;11.376;11.328;11.28;11.232;11.184;11.136;11.088;11.04;10.947;10.853;10.76;10.666;10.573;10.479;10.385;10.292;10.199;10.105;10.012;9.918;9.825;9.731;9.638;9.544;9.451;9.357;9.264;9.17
66;0;1.191;2.382;3.573;4.764;5.461;6.16;6.615;7.072;7.466;7.86;8.219;8.578;8.882;9.188;9.454;9.722;10.021;10.32;10.555;10.792;11.042;11.328;11.438;11.548;11.603;11.658;11.658;11.658;11.848;12.038;11.998;11.958;11.919;11.879;11.839;11.799;11.759;11.72;11.68;11.64;11.592;11.543;11.495;11.446;11.398;11.35;11.301;11.253;11.204;11.156;11.062;10.968;10.874;10.78;10.686;10.593;10.499;10.405;10.311;10.217;10.123;10.029;9.935;9.841;9.748;9.654;9.56;9.466;9.372;9.278
67;0;1.194;2.387;3.581;4.774;5.477;6.18;6.645;7.11;7.505;7.9;8.265;8.63;8.948;9.266;9.553;9.84;10.138;10.436;10.675;10.914;11.149;11.426;11.546;11.666;11.731;11.796;11.796;11.796;11.976;12.156;12.116;12.077;12.037;11.998;11.958;11.918;11.879;11.839;11.8;11.76;11.711;11.662;11.614;11.565;11.516;11.467;11.418;11.37;11.321;11.272;11.178;11.083;10.989;10.895;10.801;10.706;10.612;10.518;10.423;10.329;10.235;10.14;10.046;9.952;9.858;9.763;9.669;9.575;9.48;9.386
68;0;1.197;2.393;3.59;4.786;5.493;6.2;6.675;7.15;7.545;7.94;8.315;8.69;9.017;9.344;9.652;9.96;10.257;10.554;10.795;11.036;11.256;11.524;11.654;11.784;11.859;11.934;11.934;11.934;12.104;12.274;12.235;12.195;12.156;12.116;12.077;12.038;11.998;11.959;11.919;11.88;11.831;11.782;11.732;11.683;11.634;11.585;11.536;11.486;11.437;11.388;11.293;11.199;11.104;11.009;10.914;10.82;10.725;10.63;10.536;10.441;10.346;10.252;10.157;10.062;9.968;9.873;9.778;9.683;9.589;9.494
69;0;1.2;2.399;3.599;4.798;5.509;6.22;6.705;7.19;7.585;7.98;8.365;8.75;9.086;9.422;9.751;10.08;10.376;10.672;10.915;11.158;11.363;11.622;11.762;11.902;11.987;12.072;12.072;12.072;12.232;12.392;12.353;12.314;12.274;12.235;12.196;12.157;12.118;12.078;12.039;12;11.95;11.901;11.851;11.802;11.752;11.702;11.653;11.603;11.554;11.504;11.409;11.314;11.219;11.124;11.028;10.933;10.838;10.743;10.648;10.553;10.458;10.363;10.268;10.173;10.078;9.982;9.887;9.792;9.697;9.602
70;0;1.203;2.405;3.608;4.81;5.525;6.24;6.735;7.23;7.625;8.02;8.415;8.81;9.155;9.5;9.85;10.2;10.495;10.79;11.035;11.28;11.485;11.72;11.87;12.02;12.115;12.21;12.21;12.21;12.36;12.51;12.471;12.432;12.393;12.354;12.315;12.276;12.237;12.198;12.159;12.12;12.07;12.02;11.97;11.92;11.87;11.82;11.77;11.72;11.67;11.62;11.524;11.429;11.333;11.238;11.143;11.047;10.952;10.856;10.761;10.665;10.57;10.474;10.378;10.283;10.188;10.092;9.997;9.901;9.806;9.71
71;0;1.205;2.409;3.614;4.818;5.539;6.26;6.755;7.25;7.665;8.08;8.475;8.87;9.225;9.58;9.939;10.298;10.594;10.89;11.134;11.378;11.6;11.838;11.978;12.118;12.214;12.31;12.31;12.31;12.469;12.628;12.589;12.55;12.511;12.472;12.433;12.394;12.355;12.316;12.277;12.238;12.186;12.134;12.082;12.03;11.978;11.926;11.874;11.822;11.77;11.718;11.621;11.523;11.426;11.329;11.231;11.134;11.037;10.94;10.842;10.745;10.648;10.55;10.453;10.356;10.259;10.161;10.064;9.967;9.869;9.772
72;0;1.207;2.413;3.62;4.826;5.553;6.28;6.775;7.27;7.705;8.14;8.535;8.93;9.295;9.66;10.028;10.396;10.693;10.99;11.233;11.476;11.715;11.956;12.086;12.216;12.313;12.41;12.41;12.41;12.578;12.746;12.707;12.668;12.629;12.59;12.551;12.512;12.473;12.434;12.395;12.356;12.302;12.248;12.194;12.14;12.086;12.032;11.978;11.924;11.87;11.816;11.717;11.618;11.519;11.42;11.321;11.221;11.122;11.023;10.924;10.825;10.726;10.627;10.528;10.429;10.33;10.23;10.131;10.032;9.933;9.834
73;0;1.209;2.417;3.625;4.834;5.567;6.3;6.795;7.29;7.745;8.2;8.595;8.99;9.365;9.74;10.117;10.494;10.792;11.09;11.332;11.574;11.83;12.086;12.194;12.314;12.412;12.51;12.51;12.51;12.687;12.864;12.825;12.786;12.747;12.708;12.669;12.63;12.591;12.552;12.513;12.474;12.418;12.362;12.306;12.25;12.194;12.138;12.082;12.026;11.97;11.914;11.813;11.712;11.611;11.51;11.41;11.309;11.208;11.107;11.006;10.905;10.804;10.703;10.602;10.501;10.401;10.3;10.199;10.098;9.997;9.896
74;0;1.211;2.421;3.632;4.842;5.581;6.32;6.815;7.31;7.785;8.26;8.655;9.05;9.435;9.82;10.206;10.592;10.891;11.19;11.431;11.672;11.945;12.218;12.302;12.412;12.511;12.61;12.61;12.61;12.796;12.982;12.943;12.904;12.865;12.826;12.787;12.748;12.709;12.67;12.631;12.592;12.534;12.476;12.418;12.36;12.302;12.244;12.186;12.128;12.07;12.012;11.909;11.807;11.704;11.601;11.499;11.396;11.293;11.19;11.088;10.985;10.882;10.78;10.677;10.574;10.472;10.369;10.266;10.163;10.061;9.958
75;0;1.213;2.425;3.637;4.85;5.595;6.34;6.835;7.33;7.825;8.32;8.715;9.11;9.505;9.9;10.295;10.69;10.99;11.29;11.53;11.77;12.06;12.35;12.41;12.51;12.61;12.71;12.71;12.71;12.905;13.1;13.061;13.022;12.983;12.944;12.905;12.866;12.827;12.788;12.749;12.71;12.65;12.59;12.53;12.47;12.41;12.35;12.29;12.23;12.17;12.11;12.005;11.901;11.797;11.692;11.587;11.483;11.378;11.274;11.17;11.065;10.961;10.856;10.752;10.647;10.543;10.438;10.333;10.229;10.125;10.02
76;0;1.213;2.425;3.638;4.85;5.594;6.338;6.839;7.34;7.849;8.358;8.764;9.17;9.575;9.98;10.385;10.79;11.089;11.388;11.619;11.85;12.14;12.43;12.476;12.57;12.689;12.808;12.808;12.808;13.003;13.198;13.157;13.116;13.075;13.034;12.993;12.952;12.911;12.87;12.829;12.788;12.728;12.668;12.607;12.547;12.487;12.427;12.367;12.306;12.246;12.186;12.082;11.978;11.873;11.769;11.665;11.561;11.457;11.352;11.248;11.144;11.04;10.936;10.831;10.727;10.623;10.519;10.415;10.31;10.206;10.102
77;0;1.213;2.425;3.637;4.85;5.593;6.336;6.843;7.35;7.873;8.396;8.813;9.23;9.645;10.06;10.475;10.89;11.188;11.486;11.708;11.93;12.22;12.51;12.542;12.63;12.768;12.906;12.906;12.906;13.101;13.296;13.253;13.21;13.167;13.124;13.081;13.038;12.995;12.952;12.909;12.866;12.806;12.745;12.685;12.624;12.564;12.504;12.443;12.383;12.322;12.262;12.158;12.054;11.95;11.846;11.743;11.639;11.535;11.431;11.327;11.223;11.119;11.015;10.911;10.807;10.703;10.6;10.496;10.392;10.288;10.184
78;0;1.213;2.425;3.637;4.85;5.592;6.334;6.847;7.36;7.897;8.434;8.862;9.29;9.715;10.14;10.565;10.99;11.287;11.584;11.797;12.01;12.3;12.59;12.62;12.69;12.847;13.004;13.004;13.004;13.199;13.394;13.349;13.304;13.259;13.214;13.169;13.124;13.079;13.034;12.989;12.944;12.883;12.823;12.762;12.702;12.641;12.58;12.52;12.459;12.399;12.338;12.234;12.131;12.027;11.924;11.82;11.716;11.613;11.509;11.406;11.302;11.198;11.095;10.991;10.888;10.784;10.68;10.577;10.473;10.37;10.266
79;0;1.213;2.425;3.638;4.85;5.591;6.332;6.851;7.37;7.921;8.472;8.911;9.35;9.785;10.22;10.655;11.09;11.386;11.682;11.886;12.09;12.38;12.67;12.705;12.75;12.926;13.102;13.102;13.102;13.297;13.492;13.445;13.398;13.351;13.304;13.257;13.21;13.163;13.116;13.069;13.022;12.961;12.9;12.84;12.779;12.718;12.657;12.596;12.536;12.475;12.414;12.311;12.207;12.104;12.001;11.898;11.794;11.691;11.588;11.484;11.381;11.278;11.174;11.071;10.968;10.865;10.761;10.658;10.555;10.451;10.348
80;0;1.213;2.425;3.637;4.85;5.59;6.33;6.855;7.38;7.945;8.51;8.96;9.41;9.855;10.3;10.745;11.19;11.485;11.78;11.975;12.17;12.46;12.75;12.79;12.83;13.005;13.2;13.2;13.2;13.395;13.59;13.541;13.492;13.443;13.394;13.345;13.296;13.247;13.198;13.149;13.1;13.039;12.978;12.917;12.856;12.795;12.734;12.673;12.612;12.551;12.49;12.387;12.284;12.181;12.078;11.975;11.872;11.769;11.666;11.563;11.46;11.357;11.254;11.151;11.048;10.945;10.842;10.739;10.636;10.533;10.43
81;0;1.218;2.435;3.653;4.87;5.611;6.352;6.89;7.428;7.977;8.526;8.993;9.46;9.909;10.358;10.813;11.268;11.564;11.86;12.054;12.248;12.525;12.802;12.859;12.916;13.096;13.298;13.308;13.318;13.504;13.69;13.641;13.592;13.542;13.493;13.444;13.395;13.346;13.296;13.247;13.198;13.139;13.08;13.021;12.962;12.903;12.844;12.785;12.726;12.667;12.608;12.502;12.396;12.291;12.185;12.079;11.973;11.867;11.762;11.656;11.55;11.444;11.338;11.233;11.127;11.021;10.915;10.809;10.704;10.598;10.492
82;0;1.223;2.445;3.667;4.89;5.632;6.374;6.925;7.476;8.009;8.542;9.026;9.51;9.963;10.416;10.881;11.346;11.643;11.94;12.133;12.326;12.59;12.854;12.928;13.002;13.187;13.396;13.416;13.436;13.613;13.79;13.741;13.691;13.642;13.592;13.543;13.494;13.444;13.395;13.345;13.296;13.239;13.182;13.125;13.068;13.011;12.954;12.897;12.84;12.783;12.726;12.617;12.509;12.4;12.292;12.183;12.074;11.966;11.857;11.749;11.64;11.531;11.423;11.314;11.206;11.097;10.988;10.88;10.771;10.663;10.554
83;0;1.228;2.455;3.683;4.91;5.653;6.396;6.96;7.524;8.041;8.558;9.059;9.56;10.017;10.474;10.949;11.424;11.722;12.02;12.212;12.404;12.655;12.906;12.997;13.088;13.278;13.494;13.524;13.554;13.722;13.89;13.84;13.791;13.741;13.692;13.642;13.592;13.543;13.493;13.444;13.394;13.339;13.284;13.229;13.174;13.119;13.064;13.009;12.954;12.899;12.844;12.733;12.621;12.51;12.398;12.287;12.176;12.064;11.953;11.841;11.73;11.619;11.507;11.396;11.284;11.173;11.062;10.95;10.839;10.727;10.616
84;0;1.233;2.465;3.698;4.93;5.674;6.418;6.995;7.572;8.073;8.574;9.092;9.61;10.071;10.532;11.017;11.502;11.801;12.1;12.291;12.482;12.72;12.958;13.066;13.174;13.369;13.592;13.632;13.672;13.831;13.99;13.94;13.89;13.841;13.791;13.741;13.691;13.641;13.592;13.542;13.492;13.439;13.386;13.333;13.28;13.227;13.174;13.121;13.068;13.015;12.962;12.848;12.734;12.619;12.505;12.391;12.277;12.163;12.048;11.934;11.82;11.706;11.592;11.477;11.363;11.249;11.135;11.021;10.906;10.792;10.678
85;0;1.238;2.475;3.713;4.95;5.695;6.44;7.03;7.62;8.105;8.59;9.125;9.66;10.125;10.59;11.085;11.58;11.88;12.18;12.37;12.56;12.785;13.01;13.135;13.26;13.485;13.71;13.74;13.79;13.94;14.09;14.04;13.99;13.94;13.89;13.84;13.79;13.74;13.69;13.64;13.59;13.539;13.488;13.437;13.386;13.335;13.284;13.233;13.182;13.131;13.08;12.963;12.846;12.729;12.612;12.495;12.378;12.261;12.144;12.027;11.91;11.793;11.676;11.559;11.442;11.325;11.208;11.091;10.974;10.857;10.74
86;0;1.238;2.475;3.713;4.95;5.695;6.44;7.036;7.632;8.123;8.614;9.161;9.708;10.189;10.67;11.139;11.608;11.911;12.214;12.417;12.62;12.844;13.068;13.2;13.332;13.561;13.79;13.829;13.888;14.058;14.228;14.178;14.128;14.078;14.028;13.978;13.928;13.878;13.828;13.778;13.728;13.671;13.614;13.556;13.499;13.442;13.385;13.328;13.27;13.213;13.156;13.038;12.92;12.801;12.683;12.565;12.447;12.329;12.21;12.092;11.974;11.856;11.738;11.619;11.501;11.383;11.265;11.147;11.028;10.91;10.792
87;0;1.238;2.475;3.713;4.95;5.695;6.44;7.042;7.644;8.141;8.638;9.197;9.756;10.253;10.75;11.193;11.636;11.942;12.248;12.464;12.68;12.903;13.126;13.265;13.404;13.637;13.87;13.918;13.986;14.176;14.366;14.316;14.266;14.216;14.166;14.116;14.066;14.016;13.966;13.916;13.866;13.803;13.739;13.676;13.612;13.549;13.486;13.422;13.359;13.295;13.232;13.113;12.993;12.874;12.754;12.635;12.516;12.396;12.277;12.157;12.038;11.919;11.799;11.68;11.56;11.441;11.322;11.202;11.083;10.963;10.844
88;0;1.238;2.475;3.713;4.95;5.695;6.44;7.048;7.656;8.159;8.662;9.233;9.804;10.317;10.83;11.247;11.664;11.973;12.282;12.511;12.74;12.962;13.184;13.33;13.476;13.713;13.95;14.007;14.084;14.294;14.504;14.454;14.404;14.354;14.304;14.254;14.204;14.154;14.104;14.054;14.004;13.934;13.865;13.795;13.726;13.656;13.586;13.517;13.447;13.378;13.308;13.187;13.067;12.946;12.826;12.705;12.584;12.464;12.343;12.223;12.102;11.981;11.861;11.74;11.62;11.499;11.378;11.258;11.137;11.017;10.896
89;0;1.238;2.475;3.713;4.95;5.695;6.44;7.054;7.668;8.177;8.686;9.269;9.852;10.381;10.91;11.301;11.692;12.004;12.316;12.558;12.8;13.021;13.242;13.395;13.548;13.789;14.03;14.096;14.182;14.412;14.642;14.592;14.542;14.492;14.442;14.392;14.342;14.292;14.242;14.192;14.142;14.066;13.99;13.915;13.839;13.763;13.687;13.611;13.536;13.46;13.384;13.262;13.14;13.019;12.897;12.775;12.653;12.531;12.41;12.288;12.166;12.044;11.922;11.801;11.679;11.557;11.435;11.313;11.192;11.07;10.948
90;0;1.238;2.475;3.713;4.95;5.695;6.44;7.06;7.68;8.195;8.71;9.305;9.9;10.445;10.99;11.355;11.72;12.035;12.35;12.605;12.86;13.08;13.3;13.46;13.62;13.865;14.11;14.185;14.28;14.53;14.78;14.73;14.68;14.63;14.58;14.53;14.48;14.43;14.38;14.33;14.28;14.198;14.116;14.034;13.952;13.87;13.788;13.706;13.624;13.542;13.46;13.337;13.214;13.091;12.968;12.845;12.722;12.599;12.476;12.353;12.23;12.107;11.984;11.861;11.738;11.615;11.492;11.369;11.246;11.123;11
91;0;1.238;2.475;3.713;4.95;5.695;6.44;7.064;7.688;8.209;8.73;9.325;9.92;10.475;11.03;11.398;11.766;12.061;12.356;12.629;12.902;13.145;13.388;13.554;13.72;13.964;14.208;14.292;14.398;14.638;14.878;14.829;14.78;14.73;14.681;14.632;14.583;14.534;14.484;14.435;14.386;14.303;14.22;14.138;14.055;13.972;13.889;13.806;13.724;13.641;13.558;13.434;13.31;13.187;13.063;12.939;12.815;12.691;12.568;12.444;12.32;12.196;12.072;11.949;11.825;11.701;11.577;11.453;11.33;11.206;11.082
92;0;1.238;2.475;3.713;4.95;5.695;6.44;7.068;7.696;8.223;8.75;9.345;9.94;10.505;11.07;11.441;11.812;12.087;12.362;12.653;12.944;13.21;13.476;13.648;13.82;14.063;14.306;14.404;14.516;14.746;14.976;14.928;14.879;14.831;14.782;14.734;14.686;14.637;14.589;14.54;14.492;14.408;14.325;14.241;14.158;14.074;13.99;13.907;13.823;13.74;13.656;13.531;13.407;13.282;13.158;13.033;12.908;12.784;12.659;12.535;12.41;12.285;12.161;12.036;11.912;11.787;11.662;11.538;11.413;11.289;11.164
93;0;1.238;2.475;3.713;4.95;5.695;6.44;7.072;7.704;8.237;8.77;9.365;9.96;10.535;11.11;11.484;11.858;12.113;12.368;12.677;12.986;13.275;13.564;13.742;13.92;14.162;14.404;14.516;14.634;14.854;15.074;15.026;14.979;14.931;14.884;14.836;14.788;14.741;14.693;14.646;14.598;14.514;14.429;14.345;14.26;14.176;14.092;14.007;13.923;13.838;13.754;13.629;13.503;13.378;13.252;13.127;13.002;12.876;12.751;12.625;12.5;12.375;12.249;12.124;11.998;11.873;11.748;11.622;11.497;11.371;11.246
94;0;1.238;2.475;3.713;4.95;5.695;6.44;7.076;7.712;8.251;8.79;9.385;9.98;10.565;11.15;11.527;11.904;12.139;12.374;12.701;13.028;13.34;13.652;13.836;14.02;14.261;14.502;14.628;14.754;14.962;15.172;15.125;15.078;15.032;14.985;14.938;14.891;14.844;14.798;14.751;14.704;14.619;14.534;14.448;14.363;14.278;14.193;14.108;14.022;13.937;13.852;13.726;13.6;13.473;13.347;13.221;13.095;12.969;12.842;12.716;12.59;12.464;12.338;12.211;12.085;11.959;11.833;11.707;11.58;11.454;11.328
95;0;1.238;2.475;3.713;4.95;5.695;6.44;7.08;7.72;8.265;8.81;9.405;10;10.595;11.19;11.57;11.95;12.165;12.38;12.725;13.07;13.405;13.74;13.93;14.12;14.36;14.6;14.74;14.88;15.07;15.27;15.224;15.178;15.132;15.086;15.04;14.994;14.948;14.902;14.856;14.81;14.724;14.638;14.552;14.466;14.38;14.294;14.208;14.122;14.036;13.95;13.823;13.696;13.569;13.442;13.315;13.188;13.061;12.934;12.807;12.68;12.553;12.426;12.299;12.172;12.045;11.918;11.791;11.664;11.537;11.41
